Video_ID,Channel_ID,Publish_Date,Video_Title,Description,View_Count,Like_Count,Share_Count,Comment_Count
3fg8pyLKvXE,UCOmHUn--16B90oW2L6FRR3A,2016-07-06T01:00:06Z,BLACKPINK - DANCE PRACTICE VIDEO,"CHOREOGRAPHY BY : PARRIS GOEBEL

#YG #BLACKPINK #DEBUT#DANCEPRACTICE #VIDEO

More about BLACKPINK @
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official",88537909,2932163,N/A,90705
klbdGv5Bz3U,UCOmHUn--16B90oW2L6FRR3A,2023-04-07T14:21:36Z,붉게 타버려진 #지수 와 #영지 🌹 #JISOO_FLOWER #지수꽃 #ME #JISOO #BLACKPINK #블랙핑크 #FLOWERchallenge,#JISOO_FLOWER #지수꽃 #ME #JISOO #BLACKPINK #블랙핑크 #FLOWERchallenge,73028572,3971659,N/A,24199
nzLq6D72PKU,UCOmHUn--16B90oW2L6FRR3A,2023-04-06T04:00:32Z,난 하얀 꽃잎처럼 날아가🤍 #JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge,#JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge,59857790,2626880,N/A,15422
UyruJZ9YrjE,UCOmHUn--16B90oW2L6FRR3A,2023-04-03T04:00:04Z,Dance with #ME 🌺 #JISOO_FLOWER #지수꽃 #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge,#JISOO_FLOWER #지수꽃 #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge,52338931,2970825,N/A,18514
LLWZOF7DiVg,UCOmHUn--16B90oW2L6FRR3A,2023-03-28T15:00:21Z,JISOO - ‘꽃(FLOWER)’ M/V TEASER,#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #MV_TEASER #20230331_12amEDT #20230331_1pmKST #RELEASE #YG,18857466,1804536,N/A,127273
NAm2Ts-w310,UCOmHUn--16B90oW2L6FRR3A,2023-04-04T04:00:10Z,꽃 향기만 남기고 갔단다🌹 #JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge #Shorts,#JISOO_FLOWER #지수꽃 #ME #JISOO #지수 #BLACKPINK #블랙핑크 #FLOWERchallenge #Shorts,31371254,1909681,N/A,11607
vUALE5SitT0,UCOmHUn--16B90oW2L6FRR3A,2018-06-14T00:00:03Z,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V TEASER,#BLACKPINK #블랙핑크 #THE1STMINIALBUM #EP #SQUAREUP #뚜두뚜두 #DDU_DU_DDU_DU #MV #TEASER #20180615 #6PM #RELEASE #YG,32365299,1969515,N/A,121308
K_t30E2AjME,UCOmHUn--16B90oW2L6FRR3A,2023-05-04T04:00:15Z,#JISOO and #JENNIE #JISOO_FLOWER #지수꽃 #ME #지수 #제니 #BLACKPINK #블랙핑크 #FLOWERchallenge,#JISOO_FLOWER #지수꽃 #ME #지수 #제니 #BLACKPINK #블랙핑크 #FLOWERchallenge,14780478,998615,N/A,8906
UAgwPVv5RRA,UCOmHUn--16B90oW2L6FRR3A,2022-08-20T00:00:04Z,Create a Short to 'Pink Venom' & show us your moves with #PinkVenomChallenge only on YouTube Shorts,"⚠️ Get ‘em, get ‘em, get ‘em ⚠️
It’s time to taste that 🤘Pink Venom🤘 Challenge❗️

#BLACKPINK #블랙핑크 #PreReleaseSingle #PinkVenom #PinkVenomChallenge #YouTube #Shorts #YG",146107560,8396434,N/A,41762
kL1f09pdVa4,UCOmHUn--16B90oW2L6FRR3A,2018-06-06T01:40:02Z,BLACKPINK - 'SQUARE UP' ROSÉ MOVING POSTER,"[BLACKPINK - 'SQUARE UP' ROSÉ MOVING POSTER]

#BLACKPINK #블랙핑크 #ROSÉ #로제 #THE1STMINIALBUM #EP #SQUAREUP #FOREVERYOUNG #20180615 #RELEASE #YG",7913083,770459,N/A,33168
